"__leidenCluster","name","selected","shared name"
"3","ENSG00000165288","false","ENSG00000165288"
"3","ENSG00000100393","false","ENSG00000100393"
"2","ENSG00000054118","false","ENSG00000054118"
"4","ENSG00000094880","false","ENSG00000094880"
"5","ENSG00000283900","false","ENSG00000283900"
"4","ENSG00000166855","false","ENSG00000166855"
"1","ENSG00000213923","false","ENSG00000213923"
"2","ENSG00000138668","false","ENSG00000138668"
"3","ENSG00000116478","false","ENSG00000116478"
"4","ENSG00000055130","false","ENSG00000055130"
"3","ENSG00000114439","false","ENSG00000114439"
"5","ENSG00000198963","false","ENSG00000198963"
"5","ENSG00000186350","false","ENSG00000186350"
"2","ENSG00000083312","false","ENSG00000083312"
"3","ENSG00000055609","false","ENSG00000055609"
"3","ENSG00000089094","false","ENSG00000089094"
"1","ENSG00000128881","false","ENSG00000128881"
"1","ENSG00000121440","false","ENSG00000121440"
"3","ENSG00000169057","false","ENSG00000169057"
"3","ENSG00000146247","false","ENSG00000146247"
"5","ENSG00000172379","false","ENSG00000172379"
"1","ENSG00000110721","false","ENSG00000110721"
"4","ENSG00000036257","false","ENSG00000036257"
"2","ENSG00000101161","false","ENSG00000101161"
"4","ENSG00000166266","false","ENSG00000166266"
"3","ENSG00000184260","false","ENSG00000184260"
"1","ENSG00000157152","false","ENSG00000157152"
"3","ENSG00000036549","false","ENSG00000036549"
"3","ENSG00000085224","false","ENSG00000085224"
"2","ENSG00000129245","false","ENSG00000129245"
"5","ENSG00000186951","false","ENSG00000186951"
"2","ENSG00000138398","false","ENSG00000138398"
"3","ENSG00000066117","false","ENSG00000066117"
"3","ENSG00000110851","false","ENSG00000110851"
"3","ENSG00000114166","false","ENSG00000114166"
"5","ENSG00000158161","false","ENSG00000158161"
"1","ENSG00000070808","false","ENSG00000070808"
"2","ENSG00000067596","false","ENSG00000067596"
"3","ENSG00000171720","false","ENSG00000171720"
"3","ENSG00000073614","false","ENSG00000073614"
"4","ENSG00000010017","false","ENSG00000010017"
"4","ENSG00000109189","false","ENSG00000109189"
"3","ENSG00000175105","false","ENSG00000175105"
"3","ENSG00000089902","false","ENSG00000089902"
"1","ENSG00000052126","false","ENSG00000052126"
"2","ENSG00000115464","false","ENSG00000115464"
"2","ENSG00000158435","false","ENSG00000158435"
"4","ENSG00000130939","false","ENSG00000130939"
"4","ENSG00000173273","false","ENSG00000173273"
"3","ENSG00000131149","false","ENSG00000131149"
"1","ENSG00000166689","false","ENSG00000166689"
"5","ENSG00000129993","false","ENSG00000129993"
"2","ENSG00000174243","false","ENSG00000174243"
"1","ENSG00000075413","false","ENSG00000075413"
"4","ENSG00000128731","false","ENSG00000128731"
"4","ENSG00000108854","false","ENSG00000108854"
"2","ENSG00000066422","false","ENSG00000066422"
"1","ENSG00000108091","false","ENSG00000108091"
"4","ENSG00000141030","false","ENSG00000141030"
"4","ENSG00000103657","false","ENSG00000103657"
"4","ENSG00000107341","false","ENSG00000107341"
"2","ENSG00000132953","false","ENSG00000132953"
"4","ENSG00000002746","false","ENSG00000002746"
"1","ENSG00000072518","false","ENSG00000072518"
"2","ENSG00000062650","false","ENSG00000062650"
"1","ENSG00000006283","false","ENSG00000006283"
"2","ENSG00000125107","false","ENSG00000125107"
"2","ENSG00000198373","false","ENSG00000198373"
"1","ENSG00000185359","false","ENSG00000185359"
"2","ENSG00000166889","false","ENSG00000166889"
"4","ENSG00000155313","false","ENSG00000155313"
"2","ENSG00000082898","false","ENSG00000082898"
"4","ENSG00000138081","false","ENSG00000138081"
"2","ENSG00000079134","false","ENSG00000079134"
"2","ENSG00000095787","false","ENSG00000095787"
"4","ENSG00000186591","false","ENSG00000186591"
"4","ENSG00000176407","false","ENSG00000176407"
"3","ENSG00000065883","false","ENSG00000065883"
"1","ENSG00000123384","false","ENSG00000123384"
"4","ENSG00000101193","false","ENSG00000101193"
"3","ENSG00000130024","false","ENSG00000130024"
"3","ENSG00000276368","false","ENSG00000276368"
"1","ENSG00000273749","false","ENSG00000273749"
"3","ENSG00000155111","false","ENSG00000155111"
"2","ENSG00000108654","false","ENSG00000108654"
"4","ENSG00000141084","false","ENSG00000141084"
"3","ENSG00000135999","false","ENSG00000135999"
"2","ENSG00000124571","false","ENSG00000124571"
"2","ENSG00000100722","false","ENSG00000100722"
"1","ENSG00000151208","false","ENSG00000151208"
"3","ENSG00000160877","false","ENSG00000160877"
"5","ENSG00000138386","false","ENSG00000138386"
"3","ENSG00000128908","false","ENSG00000128908"
"5","ENSG00000131196","false","ENSG00000131196"
"4","ENSG00000136144","false","ENSG00000136144"
"1","ENSG00000073921","false","ENSG00000073921"
"1","ENSG00000107863","false","ENSG00000107863"
"3","ENSG00000180182","false","ENSG00000180182"
"3","ENSG00000117625","false","ENSG00000117625"
"4","ENSG00000049759","false","ENSG00000049759"
"3","ENSG00000141568","false","ENSG00000141568"
"4","ENSG00000152484","false","ENSG00000152484"
"2","ENSG00000123136","false","ENSG00000123136"
"1","ENSG00000168487","false","ENSG00000168487"
"3","ENSG00000183207","false","ENSG00000183207"
"5","ENSG00000172845","false","ENSG00000172845"
"3","ENSG00000186660","false","ENSG00000186660"
"5","ENSG00000143149","false","ENSG00000143149"
"2","ENSG00000104517","false","ENSG00000104517"
"2","ENSG00000145833","false","ENSG00000145833"
"5","ENSG00000128918","false","ENSG00000128918"
"2","ENSG00000121892","false","ENSG00000121892"
"1","ENSG00000204178","false","ENSG00000204178"
"2","ENSG00000108256","false","ENSG00000108256"
"2","ENSG00000118482","false","ENSG00000118482"
"1","ENSG00000109171","false","ENSG00000109171"
"2","ENSG00000063244","false","ENSG00000063244"
"3","ENSG00000273703","false","ENSG00000273703"
"1","ENSG00000073711","false","ENSG00000073711"
"2","ENSG00000153914","false","ENSG00000153914"
"1","ENSG00000007047","false","ENSG00000007047"
"2","ENSG00000184110","false","ENSG00000184110"
"3","ENSG00000175792","false","ENSG00000175792"
"2","ENSG00000171824","false","ENSG00000171824"
"5","ENSG00000001167","false","ENSG00000001167"
"2","ENSG00000168883","false","ENSG00000168883"
"2","ENSG00000133704","false","ENSG00000133704"
"3","ENSG00000276410","false","ENSG00000276410"
"2","ENSG00000135829","false","ENSG00000135829"
"2","ENSG00000167615","false","ENSG00000167615"
"4","ENSG00000100991","false","ENSG00000100991"
"1","ENSG00000160551","false","ENSG00000160551"
"2","ENSG00000184575","false","ENSG00000184575"
"3","ENSG00000080603","false","ENSG00000080603"
"2","ENSG00000205339","false","ENSG00000205339"
"2","ENSG00000105323","false","ENSG00000105323"
"4","ENSG00000108395","false","ENSG00000108395"
"3","ENSG00000275713","false","ENSG00000275713"
"2","ENSG00000124207","false","ENSG00000124207"
"1","ENSG00000105063","false","ENSG00000105063"
"2","ENSG00000120158","false","ENSG00000120158"
"3","ENSG00000114982","false","ENSG00000114982"
"3","ENSG00000183495","false","ENSG00000183495"
"2","ENSG00000164880","false","ENSG00000164880"
"3","ENSG00000071243","false","ENSG00000071243"
"4","ENSG00000175166","false","ENSG00000175166"
"3","ENSG00000233822","false","ENSG00000233822"
"2","ENSG00000109606","false","ENSG00000109606"
"2","ENSG00000088930","false","ENSG00000088930"
"2","ENSG00000163214","false","ENSG00000163214"
"3","ENSG00000197903","false","ENSG00000197903"
"3","ENSG00000134371","false","ENSG00000134371"
"2","ENSG00000171444","false","ENSG00000171444"
"3","ENSG00000172977","false","ENSG00000172977"
"3","ENSG00000149308","false","ENSG00000149308"
"3","ENSG00000126457","false","ENSG00000126457"
"1","ENSG00000068971","false","ENSG00000068971"
"2","ENSG00000189091","false","ENSG00000189091"
"2","ENSG00000122257","false","ENSG00000122257"
"3","ENSG00000274641","false","ENSG00000274641"
"4","ENSG00000165280","false","ENSG00000165280"
"2","ENSG00000144028","false","ENSG00000144028"
"2","ENSG00000126254","false","ENSG00000126254"
"2","ENSG00000105576","false","ENSG00000105576"
"1","ENSG00000091157","false","ENSG00000091157"
"2","ENSG00000140829","false","ENSG00000140829"
"2","ENSG00000121390","false","ENSG00000121390"
"3","ENSG00000100462","false","ENSG00000100462"
"3","ENSG00000162521","false","ENSG00000162521"
"3","ENSG00000196866","false","ENSG00000196866"
"3","ENSG00000185130","false","ENSG00000185130"
"2","ENSG00000106263","false","ENSG00000106263"
"3","ENSG00000172534","false","ENSG00000172534"
"1","ENSG00000083290","false","ENSG00000083290"
"1","ENSG00000120645","false","ENSG00000120645"
"4","ENSG00000105229","false","ENSG00000105229"
"1","ENSG00000186231","false","ENSG00000186231"
"3","ENSG00000168556","false","ENSG00000168556"
"3","ENSG00000274618","false","ENSG00000274618"
"2","ENSG00000076924","false","ENSG00000076924"
"2","ENSG00000114857","false","ENSG00000114857"
"2","ENSG00000136527","false","ENSG00000136527"
"4","ENSG00000108344","false","ENSG00000108344"
"2","ENSG00000113569","false","ENSG00000113569"
"2","ENSG00000152520","false","ENSG00000152520"
"2","ENSG00000025800","false","ENSG00000025800"
"3","ENSG00000188994","false","ENSG00000188994"
"2","ENSG00000254996","false","ENSG00000254996"
"2","ENSG00000157741","false","ENSG00000157741"
"2","ENSG00000085415","false","ENSG00000085415"
"4","ENSG00000170832","false","ENSG00000170832"
"3","ENSG00000113812","false","ENSG00000113812"
"2","ENSG00000155561","false","ENSG00000155561"
"3","ENSG00000108055","false","ENSG00000108055"
"2","ENSG00000159086","false","ENSG00000159086"
"2","ENSG00000124160","false","ENSG00000124160"
"2","ENSG00000138757","false","ENSG00000138757"
"1","ENSG00000155966","false","ENSG00000155966"
"2","ENSG00000108424","false","ENSG00000108424"
"3","ENSG00000164190","false","ENSG00000164190"
"3","ENSG00000127616","false","ENSG00000127616"
"2","ENSG00000111834","false","ENSG00000111834"
"1","ENSG00000151240","false","ENSG00000151240"
"2","ENSG00000131013","false","ENSG00000131013"
"4","ENSG00000159459","false","ENSG00000159459"
"2","ENSG00000187741","false","ENSG00000187741"
"2","ENSG00000064419","false","ENSG00000064419"
"4","ENSG00000074755","false","ENSG00000074755"
"2","ENSG00000066084","false","ENSG00000066084"
"2","ENSG00000169180","false","ENSG00000169180"
"3","ENSG00000095564","false","ENSG00000095564"
"2","ENSG00000131503","false","ENSG00000131503"
"4","ENSG00000100764","false","ENSG00000100764"
"3","ENSG00000111676","false","ENSG00000111676"
"3","ENSG00000102038","false","ENSG00000102038"
"1","ENSG00000135298","false","ENSG00000135298"
"2","ENSG00000205609","false","ENSG00000205609"
"2","ENSG00000181790","false","ENSG00000181790"
"3","ENSG00000078403","false","ENSG00000078403"
"2","ENSG00000136937","false","ENSG00000136937"
"2","ENSG00000038219","false","ENSG00000038219"
"2","ENSG00000083642","false","ENSG00000083642"
"2","ENSG00000130254","false","ENSG00000130254"
"3","ENSG00000032219","false","ENSG00000032219"
"3","ENSG00000171634","false","ENSG00000171634"
"2","ENSG00000115524","false","ENSG00000115524"
"3","ENSG00000145919","false","ENSG00000145919"
"2","ENSG00000164944","false","ENSG00000164944"
"2","ENSG00000113742","false","ENSG00000113742"
"3","ENSG00000168137","false","ENSG00000168137"
"2","ENSG00000091009","false","ENSG00000091009"
"2","ENSG00000060339","false","ENSG00000060339"
"3","ENSG00000166716","false","ENSG00000166716"
"3","ENSG00000072364","false","ENSG00000072364"
"3","ENSG00000147133","false","ENSG00000147133"
"3","ENSG00000167548","false","ENSG00000167548"
"2","ENSG00000125676","false","ENSG00000125676"
"2","ENSG00000126461","false","ENSG00000126461"
"2","ENSG00000119596","false","ENSG00000119596"
"3","ENSG00000100888","false","ENSG00000100888"
"2","ENSG00000116580","false","ENSG00000116580"
"3","ENSG00000005483","false","ENSG00000005483"
"3","ENSG00000110066","false","ENSG00000110066"
"2","ENSG00000119707","false","ENSG00000119707"
"2","ENSG00000198586","false","ENSG00000198586"
"2","ENSG00000163510","false","ENSG00000163510"
"3","ENSG00000118058","false","ENSG00000118058"
"3","ENSG00000048649","false","ENSG00000048649"
"2","ENSG00000163694","false","ENSG00000163694"
"1","ENSG00000169762","false","ENSG00000169762"
"2","ENSG00000163714","false","ENSG00000163714"
"2","ENSG00000139218","false","ENSG00000139218"
"1","ENSG00000145349","false","ENSG00000145349"
"2","ENSG00000109920","false","ENSG00000109920"
"3","ENSG00000129292","false","ENSG00000129292"
"3","ENSG00000009954","false","ENSG00000009954"
"2","ENSG00000101745","false","ENSG00000101745"
"2","ENSG00000137776","false","ENSG00000137776"
"2","ENSG00000029363","false","ENSG00000029363"
"3","ENSG00000111642","false","ENSG00000111642"
"3","ENSG00000099381","false","ENSG00000099381"
"3","ENSG00000183354","false","ENSG00000183354"
"2","ENSG00000187257","false","ENSG00000187257"
"2","ENSG00000112739","false","ENSG00000112739"
"3","ENSG00000176542","false","ENSG00000176542"
"3","ENSG00000157212","false","ENSG00000157212"
"3","ENSG00000145734","false","ENSG00000145734"
"1","ENSG00000054611","false","ENSG00000054611"
"2","ENSG00000134186","false","ENSG00000134186"
"2","ENSG00000186566","false","ENSG00000186566"
"3","ENSG00000139718","false","ENSG00000139718"
