Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
NPIPB2,ENSG00000234719,0.8035001438204078,0.1964998561795922,16,
SUPT4H1,ENSG00000213246,0.8035426964649783,0.1964573035350217,17,
SPTB,ENSG00000070182,0.8035802537551376,0.1964197462448623,14,
ARRDC1,ENSG00000197070,0.8035937426860205,0.1964062573139795,9,
NOC4L,ENSG00000184967,0.8036002885839741,0.1963997114160258,12,
POLR2F,ENSG00000100142,0.8036030780033638,0.1963969219966362,22,
MYLK4,ENSG00000145949,0.8036463278929795,0.1963536721070204,6,
TACR2,ENSG00000075073,0.8036742399056162,0.1963257600943838,10,
ATF6B,ENSG00000213676,0.8036846545654186,0.1963153454345814,6,
MLLT11,ENSG00000213190,0.80368513317652,0.1963148668234799,1,
SPIC,ENSG00000166211,0.8037508482699106,0.1962491517300893,12,
VEGFD,ENSG00000165197,0.8037959933862968,0.1962040066137032,X,
UQCR10,ENSG00000184076,0.8038053643373891,0.1961946356626108,22,
TPPP3,ENSG00000159713,0.8038114694952667,0.1961885305047332,16,
BRF1,ENSG00000185024,0.8038232725639545,0.1961767274360455,14,
ATP6V0A2,ENSG00000185344,0.8038375361570165,0.1961624638429835,12,2.0
GJB2,ENSG00000165474,0.8038644817447745,0.1961355182552254,13,
NPIPB7,ENSG00000233232,0.803908028399656,0.1960919716003439,16,
TIMM22,ENSG00000177370,0.8039645733327034,0.1960354266672965,17,
MAF1,ENSG00000179632,0.8040348715910682,0.1959651284089317,8,
ANKRD44,ENSG00000065413,0.804113569585357,0.195886430414643,2,
HIGD1A,ENSG00000181061,0.8041700571256678,0.1958299428743321,3,
CMC4,ENSG00000182712,0.8042056189119716,0.1957943810880284,X,
KARS1,ENSG00000065427,0.8042066094312013,0.1957933905687987,16,
COMMD8,ENSG00000169019,0.8042077977263298,0.1957922022736702,4,
RPL13,ENSG00000167526,0.80423312787775,0.19576687212225,16,
ICAM1,ENSG00000090339,0.8042793890329176,0.1957206109670823,19,
LAMP1,ENSG00000185896,0.8043290742704592,0.1956709257295407,13,
RALGAPA2,ENSG00000188559,0.8043510092662173,0.1956489907337827,20,
KRT12,ENSG00000187242,0.8043568009612168,0.1956431990387832,17,
NSA2,ENSG00000164346,0.8043904426219326,0.1956095573780674,5,
DZIP1L,ENSG00000158163,0.8044128059023754,0.1955871940976245,3,
DNAJC19,ENSG00000205981,0.804437579057325,0.195562420942675,3,
GSC2,ENSG00000063515,0.8044716842156587,0.1955283157843413,22,
CCNT1,ENSG00000129315,0.8045188704773759,0.1954811295226241,12,
GDNF,ENSG00000168621,0.8045529542160054,0.1954470457839946,5,
IL17RC,ENSG00000163702,0.8045555943863414,0.1954444056136585,3,
RBM26,ENSG00000139746,0.8045928673265907,0.1954071326734093,13,
ZNF131,ENSG00000172262,0.8046468394094399,0.1953531605905601,5,
AMPD1,ENSG00000116748,0.8046836171641985,0.1953163828358015,1,2.0
PSPC1,ENSG00000121390,0.8047221660916727,0.1952778339083273,13,
CFAP73,ENSG00000186710,0.8047552710902173,0.1952447289097827,12,
ZNF354C,ENSG00000177932,0.8047573510998707,0.1952426489001293,5,
KIF6,ENSG00000164627,0.8048316787089467,0.1951683212910533,6,
ATP5F1A,ENSG00000152234,0.8048609235979609,0.1951390764020391,18,
BLNK,ENSG00000095585,0.8049941522580459,0.1950058477419541,10,
APOBEC2,ENSG00000124701,0.8050192685326933,0.1949807314673066,6,
CELF3,ENSG00000159409,0.8050868733342431,0.1949131266657568,1,
MATR3,ENSG00000015479,0.8051026700543992,0.1948973299456008,5,
MAB21L2,ENSG00000181541,0.8051162970665728,0.1948837029334271,4,
CRISP2,ENSG00000124490,0.8051601689855696,0.1948398310144304,6,
SZT2,ENSG00000198198,0.8052098200128512,0.1947901799871488,1,
ADAMTS2,ENSG00000087116,0.8052174985639013,0.1947825014360986,5,
NCAPG2,ENSG00000146918,0.8052795251670721,0.1947204748329278,7,
SLC36A2,ENSG00000186335,0.8052899085538683,0.1947100914461317,5,
CDC26,ENSG00000176386,0.8053039106127263,0.1946960893872736,9,
BOD1L2,ENSG00000228075,0.8053084947952783,0.1946915052047216,18,
VPS37A,ENSG00000155975,0.8053258528030671,0.1946741471969328,8,
ACTB,ENSG00000075624,0.8053598336439993,0.1946401663560006,7,1.0
HABP4,ENSG00000130956,0.8053638232363223,0.1946361767636777,9,
BRCA1,ENSG00000012048,0.8053921278092818,0.1946078721907182,17,
RBP7,ENSG00000162444,0.8053927024258638,0.1946072975741362,1,
ANKRD28,ENSG00000206560,0.8054250903275835,0.1945749096724165,3,
H3-4,ENSG00000168148,0.805443465088012,0.1945565349119879,1,
SLC45A1,ENSG00000162426,0.8054848328449524,0.1945151671550475,1,
TSEN15,ENSG00000198860,0.8055001419452351,0.1944998580547649,1,
TIMMDC1,ENSG00000113845,0.8055249506182451,0.1944750493817548,3,
BET1,ENSG00000105829,0.8055268939081481,0.1944731060918518,7,
RPL27,ENSG00000131469,0.8055363399384337,0.1944636600615663,17,
PPP1R2,ENSG00000184203,0.8055567987355117,0.1944432012644883,3,
RBFOX2,ENSG00000100320,0.805563996978478,0.194436003021522,22,
HADH,ENSG00000138796,0.8056585112963907,0.1943414887036093,4,
ZBTB25,ENSG00000089775,0.8056940566918317,0.1943059433081683,14,
CTSS,ENSG00000163131,0.8057176968064251,0.1942823031935749,1,
SUZ12,ENSG00000178691,0.8057228731561964,0.1942771268438035,17,
CHURC1,ENSG00000258289,0.8057289012030875,0.1942710987969125,14,
POLR2H,ENSG00000163882,0.8057772655832158,0.1942227344167841,3,
TGIF2,ENSG00000118707,0.805815401426073,0.194184598573927,20,
FGF5,ENSG00000138675,0.805901839866863,0.194098160133137,4,
OR52W1,ENSG00000175485,0.8059125216134883,0.1940874783865117,11,
IFT46,ENSG00000118096,0.8059250092306589,0.1940749907693411,11,
GLB1,ENSG00000170266,0.8059323035619144,0.1940676964380856,3,
CYP17A1,ENSG00000148795,0.8059775708050415,0.1940224291949585,10,
TBX21,ENSG00000073861,0.8059873641546895,0.1940126358453105,17,
IVL,ENSG00000163207,0.8059941787312972,0.1940058212687028,1,
LIPC,ENSG00000166035,0.8060652222391106,0.1939347777608893,15,
ERF,ENSG00000105722,0.8060867801793816,0.1939132198206184,19,
SNX2,ENSG00000205302,0.8061058816639894,0.1938941183360105,5,
SYNJ1,ENSG00000159082,0.8061227244861515,0.1938772755138485,21,2.0
CAMK2G,ENSG00000148660,0.8061689007412812,0.1938310992587188,10,
TCL1A,ENSG00000100721,0.806223132700284,0.1937768672997159,14,
