Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
PKD2L2,ENSG00000078795,0.9723800467753918,0.0276199532246082,5,
AZU1,ENSG00000172232,0.9724042159854668,0.0275957840145332,19,
LDLRAD2,ENSG00000187942,0.9724126374433308,0.0275873625566693,1,
CCDC74B,ENSG00000152076,0.9724173056918324,0.0275826943081674,2,
USP17L4,ENSG00000236125,0.9724326884354172,0.0275673115645826,8,
FMO1,ENSG00000010932,0.9724388871071752,0.0275611128928247,1,
,ENSG00000259132,0.9724488085364912,0.0275511914635088,14,
HSPB8,ENSG00000152137,0.9724853601236124,0.0275146398763874,12,
OR4D5,ENSG00000171014,0.972500791120226,0.0274992088797738,11,
TIMP3,ENSG00000100234,0.972510607502528,0.027489392497472,22,
GJD4,ENSG00000177291,0.9725128309936564,0.0274871690063435,10,
G0S2,ENSG00000123689,0.9725129958326272,0.0274870041673727,1,
OR10V1,ENSG00000172289,0.9725163517920098,0.02748364820799,11,
GSG1L2,ENSG00000214978,0.9725228199465862,0.0274771800534136,17,
C11orf52,ENSG00000149300,0.9725277721307116,0.0274722278692885,11,
CLEC6A,ENSG00000205846,0.9725284795309148,0.0274715204690854,12,
OR10A7,ENSG00000179919,0.9725290882269066,0.0274709117730933,12,
ABCC6,ENSG00000091262,0.9725446601899764,0.0274553398100235,16,
RGS18,ENSG00000150681,0.972559742959242,0.0274402570407581,1,
KLK5,ENSG00000167754,0.9725840185338346,0.0274159814661656,19,
ERAS,ENSG00000187682,0.972586402462017,0.0274135975379829,X,
TBATA,ENSG00000166220,0.9725883016420772,0.0274116983579227,10,
OR10Q1,ENSG00000180475,0.9725978650416404,0.0274021349583596,11,
MYOZ2,ENSG00000172399,0.9725996709550838,0.0274003290449162,4,
XCR1,ENSG00000173578,0.9726178087438268,0.0273821912561732,3,
OR4A47,ENSG00000237388,0.972618695920128,0.0273813040798718,11,
SLC22A6,ENSG00000197901,0.9726226784301916,0.0273773215698085,11,
OR12D3,ENSG00000112462,0.9726238847510013,0.0273761152489987,6,
SLC2A11,ENSG00000133460,0.972644588249192,0.0273554117508079,22,
CPSF4L,ENSG00000187959,0.9726674078548416,0.0273325921451582,17,
MRGPRX2,ENSG00000183695,0.972669334151962,0.027330665848038,11,
FAM90A12P,ENSG00000254229,0.9726720551423356,0.0273279448576642,8,
HSPB3,ENSG00000169271,0.972684744718748,0.0273152552812521,5,
HOATZ,ENSG00000183644,0.972734872646209,0.027265127353791,11,
LAX1,ENSG00000122188,0.972756396842453,0.0272436031575471,1,
CD33,ENSG00000105383,0.972760604789304,0.027239395210696,19,
BAX,ENSG00000087088,0.972768261336532,0.027231738663468,19,
OR5J2,ENSG00000174957,0.9727724185010862,0.0272275814989137,11,
OR4K5,ENSG00000176281,0.9727737547980596,0.0272262452019404,14,
CCDC197,ENSG00000175699,0.9728065210999464,0.0271934789000536,14,
ADAMTS4,ENSG00000158859,0.9728130023262282,0.0271869976737715,1,
FAM180B,ENSG00000196666,0.972816848908704,0.0271831510912961,11,
OR4D1,ENSG00000141194,0.9728373823122252,0.0271626176877747,17,
PIK3IP1,ENSG00000100100,0.9728456197827006,0.0271543802172994,22,
NINJ1,ENSG00000131669,0.9728513766793156,0.0271486233206843,9,
OR9H1P,ENSG00000228336,0.972851445031192,0.0271485549688078,1,
GGH,ENSG00000137563,0.9728775119058416,0.0271224880941581,8,
GPRC6A,ENSG00000173612,0.9728838903409583,0.0271161096590414,6,
LY6L,ENSG00000261667,0.9728858739121908,0.0271141260878093,8,
NANOS3,ENSG00000187556,0.9729067165205012,0.0270932834794987,19,
GOLGA7,ENSG00000147533,0.9729170806129108,0.0270829193870891,8,
OR1P1,ENSG00000262085,0.9729409217645912,0.0270590782354086,17,
OR2A7,ENSG00000243896,0.9729501894727997,0.0270498105272004,7,
OR10A3,ENSG00000170683,0.9729832131744056,0.0270167868255943,11,
