Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
GTF2IRD2,ENSG00000196275,0.94627434,0.053725634,7,
AHSA1,ENSG00000100591,0.946278,0.053722046,14,
BARHL1,ENSG00000125492,0.94632053,0.053679496,9,
GLMN,ENSG00000174842,0.94632787,0.05367212,1,
TMTC2,ENSG00000179104,0.9463926,0.05360738,12,
ACVR1C,ENSG00000123612,0.94647586,0.05352413,2,
GTF2E2,ENSG00000197265,0.94653064,0.053469356,8,
NDRG1,ENSG00000104419,0.94655126,0.053448725,8,
NUP133,ENSG00000069248,0.946556,0.053444024,1,2.0
EIF3J,ENSG00000104131,0.9465926,0.05340739,15,
DIS3L2,ENSG00000144535,0.94660884,0.05339116,2,
SHROOM2,ENSG00000146950,0.94665337,0.05334666,X,
CACNG2,ENSG00000166862,0.946661,0.05333903,22,2.0
WDR70,ENSG00000082068,0.9467173,0.053282704,5,
LMO2,ENSG00000135363,0.94675046,0.053249523,11,
ERGIC1,ENSG00000113719,0.94682646,0.053173527,5,
IFT43,ENSG00000119650,0.94688714,0.053112857,14,
PINX1,ENSG00000258724,0.94688815,0.053111825,8,
SAMD10,ENSG00000130590,0.94690144,0.053098563,20,
FERMT1,ENSG00000101311,0.9469047,0.053095266,20,
CLSTN3,ENSG00000139182,0.94692445,0.053075552,12,
SPON1,ENSG00000262655,0.946938,0.053062014,11,
GOPC,ENSG00000047932,0.94700533,0.052994695,6,
TTC8,ENSG00000165533,0.9470333,0.052966703,14,
TYW1,ENSG00000198874,0.9470878,0.052912194,7,
ATP2C1,ENSG00000017260,0.94711435,0.052885663,3,
RRBP1,ENSG00000125844,0.94711626,0.052883726,20,
RUFY1,ENSG00000176783,0.94714546,0.052854564,5,
PHYHIPL,ENSG00000165443,0.9471662,0.052833825,10,
RACGAP1,ENSG00000161800,0.9472028,0.05279721,12,
PCGF1,ENSG00000115289,0.9472521,0.052747905,2,
XKR4,ENSG00000206579,0.94735414,0.05264588,8,
GPR149,ENSG00000174948,0.94739157,0.052608427,3,
GRM2,ENSG00000164082,0.94742453,0.052575458,3,
ADAMTS17,ENSG00000140470,0.9475154,0.05248455,15,
TRAJ56,ENSG00000211835,0.9475321,0.05246791,14,
GPHN,ENSG00000171723,0.9475954,0.0524046,14,2.0
SLC6A19,ENSG00000174358,0.9476468,0.052353207,5,
WNK4,ENSG00000126562,0.94766915,0.052330878,17,
CNTN1,ENSG00000018236,0.94768494,0.052315034,12,
RAB40AL,ENSG00000102128,0.9477109,0.052289147,X,
HOMER3,ENSG00000051128,0.9477122,0.052287795,19,
ANGEL2,ENSG00000174606,0.94777113,0.05222889,1,
GTF2H2,ENSG00000145736,0.9479495,0.0520505,5,
MORF4L2,ENSG00000123562,0.94796324,0.052036777,X,
HPRT1,ENSG00000165704,0.94798714,0.05201284,X,
EPHB4,ENSG00000196411,0.94800144,0.05199857,7,
SYBU,ENSG00000147642,0.94803536,0.051964615,8,3.0
EN2,ENSG00000164778,0.9480743,0.051925693,7,2.0
USP37,ENSG00000135913,0.94811255,0.051887464,2,
DAPK2,ENSG00000035664,0.94814575,0.05185428,15,
UFD1,ENSG00000070010,0.9481489,0.05185108,22,
PSMD5,ENSG00000095261,0.94814974,0.05185026,9,
SEPTIN10,ENSG00000186522,0.9481519,0.05184813,2,
COG5,ENSG00000164597,0.9481553,0.05184474,7,
IGKJ2,ENSG00000211596,0.9482215,0.051778503,2,
CETN1,ENSG00000177143,0.94822866,0.05177134,18,
STAC,ENSG00000144681,0.94822997,0.051770005,3,
TBX5,ENSG00000089225,0.94823945,0.05176055,12,
ABCF2-H2BK1,ENSG00000285292,0.94828826,0.05171172,7,
PRKCQ,ENSG00000065675,0.94829524,0.051704746,10,
IFFO1,ENSG00000010295,0.94831437,0.051685616,12,
DUSP10,ENSG00000143507,0.94831717,0.051682856,1,
ARMC12,ENSG00000157343,0.9483838,0.05161621,6,
INTS4,ENSG00000149262,0.9484109,0.051589068,11,
ASTN1,ENSG00000152092,0.9484256,0.05157441,1,
OBSL1,ENSG00000124006,0.94850636,0.05149365,2,
PHF23,ENSG00000040633,0.9485227,0.051477294,17,
